start_Node,target_Node,PPREstimate,start_Time,end_Time,Time taken,frontier_Size,walkCount,walks_Hitting_Frontier,nodesCrossed_Count,PPRtoFrontier()
23,10493,0.000241781,28013.1851,28014.19944,1.014335692,608,29162.58305,3039,75886,Y
23,10493,0.000236215,28031.66462,28032.67844,1.013826233,608,29162.58305,3010,76120,Y
23,10493,0.000236138,28043.23242,28044.23042,0.998000825,608,29162.58305,2967,75294,Y
20,23768,0,28057.80023,28058.39501,0.594783257,154,29162.58305,0,70567,Y
20,23768,0,28065.68796,28066.29142,0.603466994,154,29162.58305,0,70437,Y
20,23768,0,28072.21511,28072.7943,0.579193247,154,29162.58305,0,70497,Y
14751,10451,0,28088.92747,28089.3008,0.373333607,46,29162.58305,0,42195,Y
14751,10451,0,28110.51118,28110.87217,0.360984088,46,29162.58305,0,42355,Y
14751,10451,0,28119.07881,28119.45833,0.37951692,46,29162.58305,0,42533,Y
14728,13004,0.053496196,28131.36561,28131.36973,0.004124946,58,0,0,0,N
14728,13004,0.053496196,28144.79038,28144.79769,0.007316168,58,0,0,0,N
14728,13004,0.053496196,28156.06191,28156.06924,0.007332933,58,0,0,0,N
14772,14764,0,28167.18186,28167.53949,0.357631714,41,29162.58305,0,36675,Y
14772,14764,0,28184.16541,28184.52938,0.363969679,41,29162.58305,0,36862,Y
14772,14764,0,28197.76526,28198.13316,0.367899258,41,29162.58305,0,37185,Y
20663,22659,0,28215.74096,28216.213,0.472047299,16,29162.58305,0,55097,Y
20663,22659,0,28228.90077,28229.38065,0.479878058,16,29162.58305,0,56099,Y
20663,22659,0,28241.99626,28242.46773,0.471468041,16,29162.58305,0,55563,Y
27769,26844,0.027800159,28254.67622,28254.72999,0.053762867,231,0,0,0,N
27769,26844,0.027800159,28272.65973,28272.70753,0.047804346,231,0,0,0,N
27769,26844,0.027800159,28285.91536,28285.97021,0.0548509,231,0,0,0,N
2,27718,0.161800252,28294.20336,28294.23316,0.029796028,104,0,0,0,N
2,27718,0.161800252,28308.6349,28308.66423,0.029324205,104,0,0,0,N
2,27718,0.161800252,28320.24277,28320.27212,0.029346102,104,0,0,0,N
3647,553,0,28331.00237,28331.71183,0.70946298,12,29162.58305,0,78052,Y
3647,553,0,28342.43424,28343.14943,0.715186788,12,29162.58305,0,79453,Y
3647,553,0,28353.12998,28353.84214,0.71216185,12,29162.58305,0,78732,Y
5358,14518,0,28368.74588,28369.26088,0.515000659,2,29162.58305,0,61087,Y
5358,14518,0,28395.14516,28395.65845,0.513282387,2,29162.58305,0,61226,Y
5358,14518,0,28405.06494,28405.58254,0.51759312,2,29162.58305,0,61190,Y
14505,23405,0,28416.96885,28417.25108,0.28222862,5,29162.58305,0,29548,Y
14505,23405,0,28432.00055,28432.28342,0.282870492,5,29162.58305,0,29542,Y
14505,23405,0,28445.6881,28445.97421,0.286103113,5,29162.58305,0,29675,Y
25242,9101,0,28455.91989,28456.55337,0.633477891,0,29162.58305,0,73721,Y
25242,9101,0,28464.54383,28465.17468,0.630848136,0,29162.58305,0,72866,Y
25242,9101,0,28478.83024,28479.43848,0.608238943,0,29162.58305,0,72554,Y
9103,803,1.12E-06,28488.67124,28489.51406,0.842819922,21,29162.58305,21,83318,Y
9103,803,1.86E-06,28534.52621,28535.3447,0.818488695,21,29162.58305,31,82439,Y
9103,803,1.08E-06,28543.44623,28544.26492,0.818687483,21,29162.58305,22,82283,Y
19836,17872,5.01E-06,28557.52585,28558.21483,0.688972373,13,29162.58305,30,79266,Y
19836,17872,5.51E-06,28577.54153,28578.23373,0.692200205,13,29162.58305,33,78975,Y
19836,17872,6.35E-06,28589.37998,28590.04143,0.661453688,13,29162.58305,38,78228,Y
25688,11256,0.018268569,28602.54888,28602.55737,0.008481527,29,0,0,0,N
25688,11256,0.018268569,28613.10881,28613.11685,0.008037417,29,0,0,0,N
25688,11256,0.018268569,28621.00446,28621.01244,0.007980963,29,0,0,0,N
