start_Node,target_Node,PPREstimate,start_Time,end_Time,Time taken,frontier_Size,walkCount,walks_Hitting_Frontier,nodesCrossed_Count,PPRtoFrontier()
23,10493,7.22E-06,29192.53695,29193.02779,0.490844611,79,27669.92953,64,56063,Y
23,10493,6.77E-06,29221.71216,29222.20257,0.49041453,79,27669.92953,60,56949,Y
23,10493,8.57E-06,29237.87185,29238.36303,0.491180602,79,27669.92953,76,56350,Y
20,23768,0,29252.20787,29252.71516,0.507297863,175,27669.92953,0,61197,Y
20,23768,0,29263.03955,29263.55896,0.519409588,175,27669.92953,0,61771,Y
20,23768,0,29275.17513,29275.67954,0.504406363,175,27669.92953,0,61075,Y
14751,10451,0,29288.20679,29288.56208,0.355289364,49,27669.92953,0,40002,Y
14751,10451,0,29301.95047,29302.30391,0.353437997,49,27669.92953,0,39996,Y
14751,10451,0,29312.27027,29312.62675,0.356483463,49,27669.92953,0,40306,Y
14728,13004,0.05464693,29323.76612,29323.7741,0.007979936,63,0,0,0,N
14728,13004,0.05464693,29336.66193,29336.66992,0.007990543,63,0,0,0,N
14728,13004,0.05464693,29344.94157,29344.94948,0.007911164,63,0,0,0,N
14772,14764,0,29356.28544,29356.62572,0.340276901,61,27669.92953,0,33276,Y
14772,14764,0,29368.27728,29368.61925,0.341968827,61,27669.92953,0,33316,Y
14772,14764,0,29381.27714,29381.61444,0.337296443,61,27669.92953,0,33453,Y
20663,22659,0,29396.74069,29397.07659,0.335898423,17,27669.92953,0,35963,Y
20663,22659,0,29406.58845,29406.91836,0.329906029,17,27669.92953,0,35915,Y
20663,22659,0,29416.64414,29416.98724,0.34310305,17,27669.92953,0,35983,Y
27769,26844,0.08147573,29439.49163,29439.5715,0.079869847,612,0,0,0,N
27769,26844,0.08147573,29473.06675,29473.14906,0.082305262,612,0,0,0,N
27769,26844,0.08147573,29485.14669,29485.22344,0.07674945,612,0,0,0,N
2,27718,0.161897367,29496.36973,29496.3932,0.02347346,199,0,0,0,N
2,27718,0.161897367,29504.20237,29504.23165,0.029278699,199,0,0,0,N
2,27718,0.161897367,29511.65025,29511.68812,0.03786766,199,0,0,0,N
3647,553,0,29530.30577,29530.83784,0.532076963,12,27669.92953,0,61267,Y
3647,553,0,29538.28167,29538.81212,0.530452783,12,27669.92953,0,60864,Y
3647,553,0,29553.97732,29554.50149,0.524168878,12,27669.92953,0,61069,Y
5358,14518,0,29565.58508,29566.05219,0.467111118,1,27669.92953,0,54141,Y
5358,14518,0,29576.92909,29577.39706,0.467969911,1,27669.92953,0,53934,Y
5358,14518,0,29586.84073,29587.30523,0.464496417,1,27669.92953,0,54182,Y
14505,23405,0,29595.72853,29596.00239,0.273861029,3,27669.92953,0,28060,Y
14505,23405,0,29602.8002,29603.07815,0.277952445,3,27669.92953,0,28203,Y
14505,23405,0,29615.53622,29615.80642,0.270202432,3,27669.92953,0,28132,Y
25242,9101,0,29632.85568,29633.26691,0.411230692,0,27669.92953,0,49319,Y
25242,9101,0,29642.94352,29643.36403,0.42051011,0,27669.92953,0,49234,Y
25242,9101,0,29649.84738,29650.27833,0.430955228,0,27669.92953,0,49563,Y
9103,803,0,29658.31907,29658.88912,0.570049663,19,27669.92953,0,63292,Y
9103,803,0,29667.55112,29668.12085,0.569726332,19,27669.92953,0,63312,Y
9103,803,0,29677.21471,29677.78021,0.56550011,19,27669.92953,0,62825,Y
19836,17872,0,29700.02232,29700.47848,0.456157224,17,27669.92953,0,53891,Y
19836,17872,0,29713.59807,29714.05725,0.459185583,17,27669.92953,0,54020,Y
19836,17872,0,29729.70985,29730.16642,0.456573961,17,27669.92953,0,53917,Y
25688,11256,0.025526236,29740.30957,29740.31642,0.00684674,50,0,0,0,N
25688,11256,0.025526236,29762.10088,29762.10741,0.006527857,50,0,0,0,N
25688,11256,0.025526236,29772.70086,29772.70734,0.006474482,50,0,0,0,N
