start_Node,target_Node,PPREstimate,start_Time,end_Time,Time taken,frontier_Size,walkCount,walks_Hitting_Frontier,nodesCrossed_Count,PPRtoFrontier()
23.0,10493.0,94.0800769136,4704.15082415,4705.18356277,1.03273861966,608.0,29162.5830475,2931.0,75841.0,Y
23.0,10493.0,94.8736142999,4710.90258238,4711.93525154,1.03266916322,608.0,29162.5830475,3003.0,76476.0,Y
23.0,10493.0,97.5240246665,4717.47055988,4718.50814916,1.03758927976,608.0,29162.5830475,2976.0,76625.0,Y
20.0,23768.0,0.0,4725.07047913,4725.6797141,0.609234969779,154.0,29162.5830475,0.0,69498.0,Y
20.0,23768.0,0.0,4732.35824162,4732.98991718,0.631675559714,154.0,29162.5830475,0.0,71097.0,Y
20.0,23768.0,0.0,4738.30214956,4738.9144519,0.612302344241,154.0,29162.5830475,0.0,70725.0,Y
14751.0,10451.0,0.0,4746.54193304,4746.91046175,0.368528703816,46.0,29162.5830475,0.0,41795.0,Y
14751.0,10451.0,0.0,4753.97408351,4754.3456878,0.371604289877,46.0,29162.5830475,0.0,41926.0,Y
14751.0,10451.0,0.0,4761.86182034,4762.23847305,0.376652712651,46.0,29162.5830475,0.0,42040.0,Y
14728.0,13004.0,0.0534961960412,4772.24563733,4772.25325222,0.00761488968237,58.0,0.0,0.0,0.0,N
14728.0,13004.0,0.0534961960412,4779.90957798,4779.91704198,0.0074640015464,58.0,0.0,0.0,0.0,N
14728.0,13004.0,0.0534961960412,4787.6776701,4787.68511904,0.00744894694799,58.0,0.0,0.0,0.0,N
14772.0,14764.0,0.0,4797.77319118,4798.15494056,0.38174937857,41.0,29162.5830475,0.0,36941.0,Y
14772.0,14764.0,0.0,4808.62917342,4809.00573306,0.376559647859,41.0,29162.5830475,0.0,37012.0,Y
14772.0,14764.0,0.0,4816.22076679,4816.59802579,0.377259002393,41.0,29162.5830475,0.0,36872.0,Y
20663.0,22659.0,0.0,4825.88471702,4826.36068457,0.47596755734,16.0,29162.5830475,0.0,54799.0,Y
20663.0,22659.0,0.0,4833.70048089,4834.1923225,0.491841605093,16.0,29162.5830475,0.0,55796.0,Y
20663.0,22659.0,0.0,4841.73249758,4842.2053567,0.472859124882,16.0,29162.5830475,0.0,55084.0,Y
2.0,27718.0,0.161800252053,4849.52427811,4849.56035953,0.0360814248488,104.0,0.0,0.0,0.0,N
2.0,27718.0,0.161800252053,4856.68427291,4856.71432975,0.0300568482171,104.0,0.0,0.0,0.0,N
2.0,27718.0,0.161800252053,4862.13208734,4862.16495905,0.0328717160019,104.0,0.0,0.0,0.0,N
3647.0,553.0,0.0,4870.09182723,4870.80165532,0.709828086749,12.0,29162.5830475,0.0,78263.0,Y
3647.0,553.0,0.0,4877.1558127,4877.88958205,0.733769346442,12.0,29162.5830475,0.0,78256.0,Y
3647.0,553.0,0.0,4885.27571471,4885.99049952,0.714784813332,12.0,29162.5830475,0.0,78430.0,Y
5358.0,14518.0,0.0,4897.16370131,4897.69470745,0.531006143303,2.0,29162.5830475,0.0,60799.0,Y
5358.0,14518.0,0.0,4905.78738733,4906.31431196,0.526924636338,2.0,29162.5830475,0.0,61848.0,Y
5358.0,14518.0,0.0,4915.0511456,4915.57283192,0.521686320331,2.0,29162.5830475,0.0,61528.0,Y
14505.0,23405.0,0.0,4926.37899541,4926.6838678,0.304872386616,5.0,29162.5830475,0.0,29490.0,Y
14505.0,23405.0,0.0,4934.250941,4934.55236383,0.301422830641,5.0,29162.5830475,0.0,29343.0,Y
14505.0,23405.0,0.0,4944.84275985,4945.12494154,0.282181685054,5.0,29162.5830475,0.0,29530.0,Y
25242.0,9101.0,0.0,4956.01858251,4956.66903286,0.650450354895,0.0,29162.5830475,0.0,72944.0,Y
25242.0,9101.0,0.0,4964.01820785,4964.65704051,0.638832652739,0.0,29162.5830475,0.0,72656.0,Y
25242.0,9101.0,0.0,4971.90618864,4972.56185952,0.655670879102,0.0,29162.5830475,0.0,73889.0,Y
9103.0,803.0,0.454866282674,4980.00217265,4980.83944955,0.837276896837,21.0,29162.5830475,19.0,81737.0,Y
9103.0,803.0,0.287283968005,4988.38598383,4989.22375376,0.83776993494,21.0,29162.5830475,12.0,82467.0,Y
9103.0,803.0,0.430925952007,5001.46575541,5002.30549578,0.839740376604,21.0,29162.5830475,18.0,82488.0,Y
19836.0,17872.0,0.182967920557,5012.27345412,5012.97517018,0.701716053163,13.0,29162.5830475,26.0,78765.0,Y
19836.0,17872.0,0.204079603698,5021.24124652,5021.95419638,0.712949863055,13.0,29162.5830475,29.0,79431.0,Y
19836.0,17872.0,0.239265742266,5031.84931955,5032.55312169,0.703802141516,13.0,29162.5830475,34.0,78859.0,Y
25688.0,11256.0,0.018268569116,5046.34486082,5046.35342107,0.00856025004305,29.0,0.0,0.0,0.0,N
25688.0,11256.0,0.018268569116,5053.47269695,5053.480797,0.00810005833682,29.0,0.0,0.0,0.0,N
25688.0,11256.0,0.018268569116,5059.89671314,5059.90483304,0.00811990303464,29.0,0.0,0.0,0.0,N
