start_Node,target_Node,PPREstimate,start_Time,end_Time,Time taken,frontier_Size,walkCount,walks_Hitting_Frontier,nodesCrossed_Count,PPRtoFrontier()
23,10493,0.683442486,2.74E-06,0.486480799,0.486478062,79,27669.92953,59,56905,Y
23,10493,0.706610028,9.223615191,9.716372389,0.492757198,79,27669.92953,61,57100,Y
23,10493,0.810863967,23.89539278,24.39322475,0.497831967,79,27669.92953,70,57235,Y
20,23768,0,50.22305201,50.75071398,0.52766197,175,27669.92953,0,61609,Y
20,23768,0,65.91071836,66.42446372,0.513745362,175,27669.92953,0,61303,Y
20,23768,0,80.89478923,81.40837001,0.513580788,175,27669.92953,0,60924,Y
14751,10451,0,108.9818968,109.3352382,0.353341351,49,27669.92953,0,40059,Y
14751,10451,0,122.1737985,122.5341549,0.360356452,49,27669.92953,0,40331,Y
14751,10451,0,174.1249419,174.4813828,0.356440888,49,27669.92953,0,39804,Y
14728,13004,0.05464693,211.4923387,211.5003827,0.008043946,63,0,0,0,N
14728,13004,0.05464693,219.027992,219.0358758,0.00788382,63,0,0,0,N
14728,13004,0.05464693,226.7798891,226.7877627,0.007873555,63,0,0,0,N
14772,14764,0,266.0751724,266.4234328,0.348260424,61,27669.92953,0,33434,Y
14772,14764,0,275.2109782,275.550274,0.339295753,61,27669.92953,0,33393,Y
14772,14764,0,283.891041,284.2235043,0.33246336,61,27669.92953,0,33337,Y
20663,22659,0,311.4504127,311.781165,0.330752268,17,27669.92953,0,35955,Y
20663,22659,0,320.0823627,320.4224652,0.340102542,17,27669.92953,0,36179,Y
20663,22659,0,328.7703284,329.1136383,0.343309856,17,27669.92953,0,36291,Y
27769,26844,0.08147573,360.6735882,360.7632842,0.089695983,612,0,0,0,N
27769,26844,0.08147573,371.7455954,371.8211993,0.075603852,612,0,0,0,N
27769,26844,0.08147573,381.6013378,381.6877166,0.086378839,612,0,0,0,N
2,27718,0.161897367,404.7688845,404.8072139,0.03832935,199,0,0,0,N
2,27718,0.161897367,410.2009515,410.2363387,0.035387203,199,0,0,0,N
2,27718,0.161897367,413.9768666,414.0142129,0.037346353,199,0,0,0,N
3647,553,0,436.0805873,436.6136251,0.53303783,12,27669.92953,0,60632,Y
3647,553,0,446.8721399,447.3935296,0.521389676,12,27669.92953,0,60907,Y
3647,553,0,458.1919496,458.7296382,0.537688674,12,27669.92953,0,60658,Y
5358,14518,0,500.3512843,500.821214,0.469929637,1,27669.92953,0,54012,Y
5358,14518,0,510.7749491,511.2416783,0.466729166,1,27669.92953,0,54447,Y
5358,14518,0,520.4070124,520.8768506,0.469838283,1,27669.92953,0,54344,Y
14505,23405,0,551.638483,551.9162899,0.277806956,3,27669.92953,0,28029,Y
14505,23405,0,560.5503664,560.8255268,0.275160426,3,27669.92953,0,28073,Y
14505,23405,0,571.390284,571.6639738,0.273689865,3,27669.92953,0,27987,Y
25242,9101,0,607.6535277,608.0735982,0.420070517,0,27669.92953,0,49296,Y
25242,9101,0,617.5734711,618.0028689,0.429397867,0,27669.92953,0,49025,Y
25242,9101,0,628.5171186,628.9317466,0.414627938,0,27669.92953,0,49348,Y
9103,803,0,2220.96884,2221.549784,0.580944642,19,27669.92953,0,63278,Y
9103,803,0,2229.704933,2230.275634,0.570701014,19,27669.92953,0,63074,Y
9103,803,0,2238.064611,2238.64004,0.575429184,19,27669.92953,0,62448,Y
19836,17872,0,2281.081145,2281.537678,0.456533097,17,27669.92953,0,53743,Y
19836,17872,0,2292.191577,2292.646835,0.455257904,17,27669.92953,0,53826,Y
19836,17872,0,2301.591366,2302.045851,0.454484987,17,27669.92953,0,54012,Y
25688,11256,0.025526236,2332.631211,2332.635324,0.004113669,50,0,0,0,N
25688,11256,0.025526236,2344.958439,2344.961157,0.002717697,50,0,0,0,N
25688,11256,0.025526236,2354.078995,2354.083321,0.004325802,50,0,0,0,N
