start_Node,target_Node,PPREstimate,start_Time,end_Time,Time taken,frontier_Size,walkCount,walks_Hitting_Frontier,nodesCrossed_Count
23,11445,0.010051911,119681.5122,119681.5143,0.002106952,27,0,0,0
25,13824,0.05174116,119690.8961,119690.9075,0.011364472,120,0,0,0
27,24183,0.052485896,119702.0959,119702.0989,0.003046493,53,0,0,0
23584,17450,0.021142048,119755.5602,119755.5647,0.004540657,66,0,0,0
23601,22512,0.008933851,119771.9503,119771.9531,0.002726926,28,0,0,0
23608,22214,0.054648419,119784.1901,119784.2047,0.014654233,181,0,0,0
23623,23258,0.069528581,119805.9578,119805.9726,0.014846521,149,0,0,0
23618,18993,0.002708224,119889.8299,119889.8467,0.016847407,151,0,0,0
22859,17126,0.022009442,119993.2598,119993.3233,0.063516845,489,0,0,0
21953,13302,0.00852452,120140.4168,120140.6433,0.226441259,1499,0,0,0
17652,10565,0.060481308,120372.8519,120372.9024,0.050461815,462,0,0,0
11534,10335,0.060822759,120445.185,120445.2777,0.092679898,855,0,0,0
10816,10299,0,120585.8863,120586.1127,0.226456998,141,28092.81492,0,0
10280,7810,0,120617.871,120618.3262,0.455243003,11,28092.81492,0,0
10281,6191,0,120631.4769,120632.1318,0.654907697,25,28092.81492,0,0
