start_Node,target_Node,start_Time,end_Time,Time taken,PPREstimate,Threshold,Reverse_Threshold,Additive_Error,Frontier_Size,number_of_walks,walks_Hitting_Frontier,number_of_nodesCrossed
27769,26614,1.37E-06,0.1736063,0.173604931,0.000231884,0.00014404,0.01200168,0.00200028,1641,29162,29162,0
5706,11269,32.54283823,51.46847424,18.92563601,0.00060754,0.00014404,0.01200168,0.00200028,7157,29162,29162,0
2577,19335,84.47021167,84.75034292,0.280131248,0.000117832,0.00014404,0.01200168,0.00200028,7190,29162,29162,0
7577,16145,142.1329946,158.7412058,16.60821123,2.01E-06,0.00014404,0.01200168,0.00200028,7192,29162,163,69006
7561,16210,201.659511,201.6942271,0.034716128,0.013371429,0.00014404,0.01200168,0.00200028,7216,0,0,0
7559,10859,292.081934,295.9297411,3.847807083,0,0.00014404,0.01200168,0.00200028,7225,29162,21105,37393
10020,25231,392.480431,392.6471368,0.166705843,0,0.00014404,0.01200168,0.00200028,7225,29162,29162,0
2081,10518,498.533799,521.252901,22.719102,0.000999746,0.00014404,0.01200168,0.00200028,8267,29162,29162,0
23878,10600,665.658052,690.5628519,24.90479983,0.003178742,0.00014404,0.01200168,0.00200028,10003,29162,29162,0
1578,11539,871.0938798,895.0361001,23.94222031,0.001287444,0.00014404,0.01200168,0.00200028,10179,29162,29162,0
2081,1578,948.8196968,948.978484,0.158787151,0,0.00014404,0.01200168,0.00200028,10178,29162,29162,0
14177,16210,964.0606363,964.9506142,0.889977949,0,0.00014404,0.01200168,0.00200028,10178,29162,0,23385
7807,11539,981.2918303,1005.168614,23.87678401,0.001144311,0.00014404,0.01200168,0.00200028,10179,29162,29162,0
20743,10600,1023.362689,1048.457896,25.09520632,0.003317792,0.00014404,0.01200168,0.00200028,10177,29162,29162,0
25697,20743,1063.106778,1063.278568,0.171789147,0,0.00014404,0.01200168,0.00200028,10176,29162,29162,0
