start_Node,target_Node,start_Time,end_Time,Time taken,PPREstimate,Threshold,Reverse_Threshold,Additive_Error,Frontier_Size,number_of_walks,walks_Hitting_Frontier,number_of_nodesCrossed
27769,26614,1488.302716,1493.125846,4.823129943,0.000501738,0.00014404,0.01200168,0.00200028,671,29162,6532,130802
5706,11269,1507.542266,1514.272507,6.730240993,0.000103684,0.00014404,0.01200168,0.00200028,691,29162,1129,180423
2577,19335,1534.709759,1539.179312,4.469552692,6.51E-05,0.00014404,0.01200168,0.00200028,1170,29162,2743,118102
7577,16145,1550.93332,1553.581294,2.647974394,6.87E-07,0.00014404,0.01200168,0.00200028,1298,29162,98,70502
7561,16210,1565.405115,1565.446263,0.041147841,0.015051438,0.00014404,0.01200168,0.00200028,1360,0,0,0
7559,10859,1582.212689,1588.329765,6.117076818,0,0.00014404,0.01200168,0.00200028,1369,29162,4891,165489
10020,25231,1605.412364,1609.811047,4.398683754,1.86E-06,0.00014404,0.01200168,0.00200028,1389,29162,4769,119931
2081,10518,1625.043945,1629.657034,4.613089587,0.000133964,0.00014404,0.01200168,0.00200028,1708,29162,6776,118397
23878,10600,1721.601928,1724.575109,2.973181351,0.003804142,0.00014404,0.01200168,0.00200028,4023,29162,21406,31564
1578,11539,1741.961576,1744.411806,2.450230181,6.06E-05,0.00014404,0.01200168,0.00200028,4403,29162,21266,62170
2081,1578,1773.888846,1775.66213,1.773283995,0,0.00014404,0.01200168,0.00200028,4404,29162,19883,43678
14177,16210,1785.60067,1786.447109,0.846439514,0,0.00014404,0.01200168,0.00200028,4403,29162,0,23324
7807,11539,1800.664293,1803.185649,2.52135573,0.000412783,0.00014404,0.01200168,0.00200028,4403,29162,19938,61401
20743,10600,1813.888124,1816.918325,3.030200448,0.003516349,0.00014404,0.01200168,0.00200028,4403,29162,22965,36406
25697,20743,1839.279624,1841.179176,1.899551956,1.04E-06,0.00014404,0.01200168,0.00200028,4406,29162,13521,51771
